"state","city","address1","address2","name","phone","zip"
"CA","Los Angeles","1153 Sandy St", nil, "Singh Impex","2137411515","90015"
"CA","Milpitas","118 South Abel Street", nil, "Sugandh India Imports Inc","4089569509","95035"
"CA","Modesto","2001 Tully Road", nil, "Asian Spices","2095449500","95350"
"CA","Modesto","2021 Yosemite Boulevard", nil, "India Music Warehouse","2095778192","95354"
"CA","Newark","39207 Cedar Blvd", nil, "Coconut Hill","5107428704","94560"
"CA","Newark","5970 Mowry Ave", nil, "Tajmahal Imports","5107941000","94560"
"CA","Northridge","8650 Reseda Boulevard", nil, "Bombay Spiceland","8187019383","91324"
"CA","Northridge","8902 Reseda Boulevard", nil, "India Market Inc","8187019054","91324"
"CA","Northridge","18110 Parthenia Street", nil, "India Sweets & Spices","8184071498","91325"
"CA","Norwalk","10932  Imperial Hwy", nil, "Marhaba","5628682272","90650"
"CA","Rancho Cordova","11015-1 Olson Dr", nil, "India Bazar","9166319950","95670"
"CA","Redwood City","2630 Broadway St", nil, "Indian Grocery & Spice","6503651832","94063"
"CA","Riverside","1320 West Blaine Street", nil, "Gandhi Sweets & Spices","9097810560","92507"
"CA","Sacramento","7290 Franklin Boulevard", nil, "FIJI India Spice & Grocery","9163919436","95823"
"CA","Sacramento","6968 65 St", nil, "India Fashion Import Export & Market","9163911234","95823"
"CA","Sacramento","5278 Fruitridge Road", nil, "India Mart","9167390635","95820"
"CA","Sacramento","1148 Fulton Ave", nil, "Kaveri Indian Grocery","9164891558","95825"
"CA","San Bruno","650 San Bruno Avenue East", nil, "India Foods","6505836559","94066"
"CA","San Bruno","492 San Mateo Ave", nil, "Neelam Pacific Market","6505835024","94066"
"CA","San Diego","5440 Clairemont Mesa Boulevard", nil, "India Sweet & Spices","8585656658","92117"
"CA","San Diego","9484 Black Mountain Road", nil, "Little India Cash & Carry","8586956282","92126"
"CA","San Francisco","1201 Geneva Avenue", nil, "Kapitbahay Grocery Store","4155870660","94112"
"CA","San Francisco","1107 Polk Street", nil, "New India Bazzar Grocery Store","4159284553","94109"
"CA","San Francisco","920 Geary Street", nil, "Salem Grocery","4154743567","94109"
"CA","San Francisco","530 Ellis Street", nil, "Taj Grocery","4154745841","94109"
"CA","San Jose","2845 S.White Road", nil, "Gagan Palace","4082239978","95148"
"CA","San Jose","1914 Aborn Rd", nil, "JB Rana Bazar","4085288740","95121"
"CA","San Jose","389 N Capitol Ave", nil, "Khalsa Fabric & Grocery","4089269605","95133"
"CA","San Jose","5175 Moorpark Ave", nil, "Lakshmi Bazaar","4088610432","95129"
"CA","San Jose","2644 Alum Rock Avenue", nil, "New India Bazar","4082720202","95116"
"CA","San Jose","2365 McKee Road", nil, "New Indian Market","4089235570","95116"
"CA","San Jose","495 S 2nd St", nil, "Singh's Market","4082949820","95113"
"CA","San Jose","4692 Meridian Ave", nil, "Star Liquor & Indian Grocery","4082642900","95118"
"CA","San Jose","1584 Branham Lane", nil, "VIP Food Mills","4082656031","95118"
"CA","San Leandro","829 Alvarado St", nil, "Dhanraj","5103571406","94577"
"CA","San Leandro","1699 East 14th Street", nil, "Mangals Market & Produce","5103523337","94577"
"CA","San Leandro","16672 E 14th St", nil, "Raja Liquor & Grocery","5102762670","94578"
"CA","San Leandro","1188 Montague Ave", nil, "Santos","5103570277","94577"
"CA","San Mateo","150 North B Street", nil, "Neelam Supermarket","6503408208","94401"
"CA","San Mateo","1620 Palm Ave", nil, "Sangam Market","6505706663","94402"
"CA","San Mateo","1620 Palm Ave", nil, "Mangals Market","6505706663","94402"
"CA","Santa Clara","3087 El Camino Real", nil, "Danya Imports","4082485025","95051"
"CA","Santa Clara","2213 El Camino Real", nil, "New India Bazzar","4082492599","95050"
"CA","Santa Clara","1591 Pomeroy Ave", nil, "Spiceland","4085541378","95051"
"CA","Santa Clara","3085 El Camino Real", nil, "Taj Mahal Imports","4082474507","95051"
"CA","Santa Clarita","20655 Seledad Canyaon Rd, #22", nil, "HARI OM INDIA MARKET","6612509595","91350"
"CA","Santa Clarita","26230 Bouquet Canyon Road", nil, "India Spiceland","6612552600","91350"
"CA","Stockton","1920 E Hammer Lane #5", nil, "Shan E Punjab","2099579434","95210"
"CA","Sunnyvale","554 S. Murphy Ave","","Coconut Hill","4087388837","94086"
"CA","Sunnyvale","1053 El Camino Real # 9", nil, "Guru Place","4085548675","94087"
"CA","Sunnyvale","460 Persian Dr", nil, "India Food Mill","4087440777","94089"
"CA","Sunnyvale","1242 S.Wolfe Road", nil, "Indian Foods","4087200522","94087"
"CA","Sunnyvale","854 Old San Francisco Rd", nil, "Neel Kamal Spice House","4087329540","94086"
"CA","Sunnyvale","1187 W El Camino Real", nil, "Nilgiris","4087460808","94087"
"CA","Sunnyvale","808 W. El Camino Real", nil, "Silicon Mart","4087320223","94087"
"CA","Sunnyvale","934 E. El CAmino Real", nil, "Singh Stores","4087460758","94086"
"CA","Torrance","23906 Crenshaw Boulevard", nil, "India Spiceland","3105308960","90505"
"CA","Torrance","3920 Sepulveda Blvd", nil, "Indian Sweets & Groceries","3103789686","90505"
"CA","Tustin","14441 Newport Avenue", nil, "India Sweets & Spices","7147312910","92780"
"CA","Union City","31853 Alvarado Blvd", nil, "Raja Sweets","5104899100","94587"
"CA","Union City","30063 Industrial Pkwy", nil, "Sangrams Palace","5104419330","94587"
"CA","Union City","32118 Alvarado Blvd", nil, "Shalimar","5104877752","94587"
"CA","Union City","33407 Mission Blvd", nil, "Sonam Store","5104874493","94587"
"CA","Union City","29266 Union City Blvd", nil, "Spice House","5104896857","94587"
"CA","Upland","929 West Foothill Boulevard", nil, "New Bombay Stores","9099819323","91786"
"CO","Aurora","3140 S Parker Rd. Unit #4", nil, "Bombay Bazaar","3033691010","80014"
"CO","Aurora","12507 E Mississippi", nil, "Great Indian Grocery","3033664848","80112"
"CO","Aurora","3102 S.Parker Rd.#A6", nil, "India's Grocery","3033379843","80014"
"CO","Boulder","2877 28th St", nil, "India's Grocery","7205650475","80301"
"CO","Colorado Springs","3659 Austin Bluffs Pkwy #35", nil, "India Bazaar","7192646995","80918"
"CO","Colorado Springs","4820 Flintridge Drive","","Taste of India","7195983428","80918"
"CO","Denver","3020 W Mississippi Ave", nil, "Indus Imports","3037424443","80223"
"CO","Denver","242 CN Havana St", nil, "World Bazaar","7208581112","80010"
"CO","Englewood","6864 S. Dallas Way", nil, "DTC Int'l India's Food Store","3038580076","80112"
"CO","Thornton","10351 N. Grant St. #6", nil, "Tejal International Foods","3034504164","80229"
"DE","Dover","1142 S.Bay Rd.", nil, "Taj Mahal Food & groceries","3027365723","19901"
"DE","New Castle","208 New Churchman's Rd", nil, "Everest Groceries","3023231080","19720"
"DE","Newark","107 Newark Shopping Center", nil, "QuickStop Food Mart","3022923426","19711"
"DE","Wilmington","3311 Old Capitol Trail", nil, "Apna Bazaar","3028922762","19808"
"DE","Wilmington","3623, Kirkwood Highway", nil, "Spice Mahal","3029948144","19808"
"FL","Boca Raton","1890 NW 2nd Ave", nil, "East-West Market","5613386410","33432"
"FL","Boca Raton","2800,N. FEDERAL HWY. # 5", nil, "LITTLE INDIA","5613677980","33431"
"FL","Brandon","819 East Brandon Boulevard", nil, "Tampa Grocery","8136558900","33511"
"FL","Clearwater","2440 SR 580, unit 9", nil, "Kohinoor","7277999542","33761"
"FL","Clearwater","2480 E Bay Drive", nil, "Mahal Bazaar","8135362178","34620"
"FL","Cooper City","12113 Sheridan St", nil, "Big Bazar","9544337599","33026"
"FL","Coper City","9750 Griffin Road", nil, "Best Indian grocery & Super Market","9542521666","33328"
"FL","Coral Gables","2342 Douglas Road", nil, "Indian Grocery","3054485869","33134"
"FL","Delray Beach","1324 North Federal Highway", nil, "Food and Spice Store","5612781965","33483"
"FL","Fort Lauderdale","10079 Sunset Strip", nil, "ABC Grocers","9547467740","33322"
"FL","Fort Lauderdale","3062 N Andrews Ave", nil, "Indian Grocery and Spices","9545618606","33311"
"FL","Fort Myers","5240 Bank St", nil, "India Bazaar","2399390797","33907"
"FL","Fort Myers","11510 S. Cleveland Ave., #1", nil, "Little India.","2399369299","33907"
"FL","Fort Pierce","4830 South US Highway 1", nil, "Fil-Am India Oriental Food","5615959900","34982"
"FL","Fremont","39476 Fremont Blvd", nil, "Sunshine Mart","5104949424","94538"
"FL","Hialeah","1870 W 60th St", nil, "Patel Brothers","3055575536","33012"
"FL","Hollywood","1801 Nw 66th Ave", nil, "Faster 7 Food Store & International Spices","9548938009","33024"
"FL","Jacksonville","9978 Old Baymeadows Road", nil, "India Bazaar","9046464427","32256"
"FL","Jacksonville","7213 Atlantic Boulevard", nil, "India Cuisine","9047254108","32211"
"FL","Jacksonville","9802 Baymeadows Rd, #15", nil, "Indian Grocery","9548079802","32256"
"FL","Jacksonville","5111-16 Baymeadows Rd", nil, "Raja Indian Spices","9044488006","32217"
"FL","Kissimmee","3374 W Southport Road", nil, "Antasha's West Indian Grocery","4075189200","34746"
"FL","Kissimmee","4149 West Vine Street", nil, "New Taj Mahal","4078461099","34741"
"FL","Lake Land","1551 S Combee Rd", nil, "Krishna Grocery","8635100200","33801"
"FL","Lake Land","2948 S. Combee Road", nil, "New India Bazar","8636671005","33803"
"FL","Lake Mary","870 S Sun Dr", nil, "Spice Land Asian Groceries","4078292440","32746"
"FL","Largo","2480 East Bay Drive # C-15", nil, "Mahal Bazaar","7275362178","33771"
"FL","Lauderdale Lakes","3570 N State Rd. 7", nil, "Sahara Food Store","9544859441","33319"
"FL","Longwood","851 E SR 434 #216", nil, "Ann Bhandar","4077887009","32750"
"FL","Longwood","820 East SR434, Suite 150", nil, "House of Spices","4073319888","32750"
"FL","Longwood","851 E S R 434", nil, "India Import","4077887009","32750"
"FL","Longwood","1283 South Highway 17 # 92", nil, "Little India","4076991117","32750"
"FL","Longwood","390 N Highway 17/92", nil, "Sophie's West Indian Grocery","4078305620","32750"
"FL","Longwood","1155 West State Rd. 434 Unit 157", nil, "Spice King","4072602644","32750"
"FL","Margate","64-366 S. State Rd. 7", nil, "Alice's Saree & Pooja Center","9549848186","33068"
"FL","Miami","9531 SW 160th St", nil, "Asia Market","3052322728","33157"
"FL","Miami","2008 Northeast 164th Street", nil, "Bombay Super Bazaar","3059487258","33162"
"FL","Miami","2500 SW 107 Ave Ste #34", nil, "Continental Bazaar","3055513333","33165"
"FL","Miami","350 Lincoln Rd", nil, "Indian Bazaar","3056726179","33139"
"FL","Miami","13915 SW 84th St", nil, "Indo American Grocery","3053827570","33183"
"FL","Miami","4202 Nw 17th Ave","","International Grocery","3056382430","33142"
"FL","Orlando","2319 Mt Vernon St", nil, "All Spices of India","4078965700","32803"
"FL","Orlando","12054 Collegiate Way", nil, "Ann Bhandar","4072757117","32817"
"FL","Orlando","9432 S Orange Blossom Trl", nil, "Apna Bazar","4078560238","32837"
"FL","Orlando","11301 South Orange Blossom Trail", nil, "Bombay Bazaar","4078561780","32837"
"FL","Orlando","1173 Doss Avenue", nil, "House of Spices","4078578805","32809"
"FL","Orlando","12229 University Blvd.", nil, "House of Spices","4072432424","32817"
"FL","Orlando","7649 Turkey Lake Rd", nil, "India Spice House, LLC","4072262727","32819"
"FL","Orlando","7400 Southland Blvd", nil, "Patel Brothers","4074380766","32809"
"FL","Orlando","5853 Old Winter Garden Rd", nil, "R&R International Groceries","4075786332","32835"
"FL","Orlando","5907 Old Winter Garden Rd", nil, "Ram Indian American Grocery","4072930862","32835"
"FL","Orlando","9645 East Colonial Drive", nil, "Rani East & West Indian Grocery","4072070028","32817"
"FL","Orlando","10500 Curry Ford Rd", nil, "Royal India Grocery","4072491203","32825"
"FL","Pembroke Pines","1756 N. University DR", nil, "Little Asia Market","9544371666","33024"
"FL","Pembroke Pines","11264 Pines Blvd", nil, "Sitara Indian & Asian Grocery","9545170020","33026"
"FL","Pembroke Pines","2088 N. University Drive", nil, "Flavors Of India","9544334343","33024"
"FL","Pensacola","3319 Mobile Highway", nil, "India Bazaar","8504384745","32505"
"FL","Pompano Beach","933 S Dixie Hwy W","","Bengali Inc","9547831027","33060"
"FL","Pompano Beach","551 E.Sample Road", nil, "D & R Market","9549467283","33064"
"FL","Port Charlotte","2395 Tamiami Trail", nil, "India  Mini Market","9416251030","33952"
"FL","Saint Petersburg","2234 4th Street S", nil, "Sapna Food Store","8138219893","33705"
"FL","Sunrise","8911 West Oakland Park Boulevard", nil, "Continental Food Store","9547470923","33351"
"FL","Sunrise","8698 NW 44th. Street", nil, "New Apna Bazaar","9545726858","33351"
"FL","Tallahassee","1141 Apalachee Parkway", nil, "India Bazaar","8504020091","32301"
"FL","Tallahassee","901 W Tharpe St", nil, "Rhythm House of India","8504227701","32303"
"FL","Tampa","2361 East Fowler Ave", nil, "Apna Bazaar","8139031774","33612"
"FL","Tampa","5025 E fowler Ave", nil, "Asian spicy Food Inc","8139899892","33610"
"FL","Tampa","6808 Harney RD, Suite 2", nil, "Bombay Bazaar Tampa","8136264134","33610"
"FL","Tampa","1749 State Road 60 East", nil, "Bombay Market Inc","8136814884","33607"
"FL","Tampa","2005 E Fowler Ave", nil, "House Of Spices","8133980365","33612"
"FL","Tampa","4023 W. Waters Avenue, #9", nil, "India Bazaar","8138859551","33614"
"FL","Tampa","5691 E Fowler Ave", nil, "Kiran Indian grocery","8139801184","33647"
"FL","Tampa","19651 Bruce B Downs BLVD", nil, "Kiran Indian Grocery","8134179459","33647"
"FL","Tampa","11620 N 22nd Street", nil, "Radha Grocery","8139751400","33612"
"FL","Tampa","15343 Amberly Drive", nil, "Spices of India Grocery","8139719131","33647"
"FL","Tampa","4940 East Busch Blvd.", nil, "Taj Mahal Grocery","8139879755","33647"
"FL","Temple Terrace","4936 E Busch Boulevard", nil, "Taj Mahal Grocery","8139879755","33617"
"FL","Valrico","1749 State Road 60 East", nil, "Best of India","8136510639","33594"
"FL","West Palm Beach","7106 South Dixie Highway","","Family Food Indian Grocery","5615822566","33405"
"FL","West Palm Beach","1024 S Military Trail", nil, "Grocery Mahal & Spices","5614333976","33415"
"FL","West Palm Beach","4780 Okeechobee Boulevard", nil, "India Bazaar","5616843480","33417"
"GA","Alpharetta","10990 State Bridge Road Suite F", nil, "Little India Mart","6782400975","30022"
"GA","Alpharetta","4150 Old Milton Pkwy", nil, "Spices Hut","8774237488","30005"
"GA","Athens","1375 Prince Avenue", nil, "Anupama Imports & Fast Foods","7065437050","30606"
"GA","Atlanta","4639 N. Shallowford Rd", nil, "Indian Bazaar","7704553128","30338"
"GA","Atlanta","1289 Roswell Rd Town & Country Center", nil, "Shimla Imports","7705658141","30062"
"GA","Atlanta","1612 Woodcliff Drive NE", nil, "Taj Mahal Imports","4043215940","30329"
"GA","Chamblee","4897 Buford Hwy #163", nil, "Bengal Store (Meat)","7709864111","30341"
"GA","Chamblee","4646 Buford Hwy", nil, "Chak Bazaar","7704583655","30341"
"GA","Chamblee","5193 Peachtree Industrial Blvd", nil, "International Farmer Market","7704551777","30341"
"GA","Cumming","2255 Pechtree Parkway", nil, "Cherians","7708884141","30041"
"GA","Decatur","1850 Lawrenceville Hwy #300", nil, "Atlanta Halal Meat & Grocery","4043156555","30033"
"GA","Decatur","1082 Oaktree Road", nil, "Bombay Bazaar","4043210116","30033"
"GA","Decatur","751 Dekalb Industrial Way", nil, "Cherians","4042990842","30033"
"GA","Decatur","3110 E Ponce De Leon Ave", nil, "Globe Imports","4043778868","30079"
"GA","Decatur","2999 North Decatur Road", nil, "Indo-Pak Wholesalers","4042922965","30033"
"GA","Decatur","1709 Church Street Suite #F", nil, "Patel Brothers","4042962696","30033"
"GA","Decatur","3003 Decatur Road N", nil, "Pooja Imports","4042922965","30033"
"GA","Decatur","1711 Church St", nil, "Shreeji","4042962696","30044"
"GA","Duluth","2920-D Old Norcross Rd", nil, "Asia Bazarrs","7709237020","30096"
"GA","Duluth","4315, Abbotts Bridge Rd,(Hwy 120)", nil, "Bombay Spices","7708131225","30097"
"GA","Duluth","3547 Old Norcross Rd", nil, "India Market","6785845005","30096"
"GA","Duluth","4025 Satellite Blvd", nil, "New Delhi Imports","7706239560","30096"
"GA","Forest Park","120 Forest Parkway", nil, "Sunny Wholesale Inc","4043634046","30297"
"GA","Kennesaw","3600 Cherokee Street  Suite 104", nil, "Awan's International","6783544434","30144"
"GA","Lake City","5380 Jonesboro Rd", nil, "International Farmer Market","4043617522","30260"
"GA","Lawrenceville","1455 Pleasant Hill Rd #301", nil, "Universel Groceries","7709358135","30043"
"GA","Lilburn","Indian Trail Rd #6", nil, "Apna Bazaar","7703812005","30047"
"GA","Lilburn","880 Indian Trail Rd #F", nil, "Iqra Grocery Store","7706387171","30047"
"GA","Macon","4000 Northside Drive", nil, "Taj Food & Gifts","9127570016","31210"
"GA","Marietta","279-C Powers Ferry Rd SE", nil, "Bismillah","7705658859","30067"
"GA","Marietta","1480-D Terrell Mill Rd Terrell Plaza", nil, "Sangam","7708574400","30067"
"GA","Norcross","6034-C S.Norcross Tucker Rd", nil, "Eastern Groceries","7704461397","30093"
"GA","Riverdale","6475 Highway 85", nil, "India Imports","7709966956","30274"
"GA","Riverdale","6030 Georgia Hwy 85 S238", nil, "Indian Grocery and Imports","7709964830","30274"
"GA","Roswell","10684 Alpharetta Highway #700 & 800", nil, "Filmfare Groceries","7705522999","30076"
"GA","Roswell","11235 Alpharetta Hwy #135-136", nil, "Super Bazaar","7706631370","30076"
"GA","Savannah","11710 Largo Dr", nil, "India Groceries","9129259240","31419"
"GA","Suwanee","686 Peachtree Ind. Blvd", nil, "Bombay Spices","7708131225","30024"
"GA","Tucker","3900 LaVista Road  Suite 102", nil, "India Bazaar","7707230856","30084"
"GA","Tucker","3981 Lawrenceville Highway", nil, "Taj Grocery","7709088682","30084"
"HI","Honolulu","2320 South King Street #4","Moilili Area","India Bazaar","8089494840","96826"
"ID","Boise","602 North Orchard Street", nil, "India Food Market","2083870000","83705"
"IL","Addison","19 N. Addison Rd","","Ajanta East Grocers","6302794256","60101"
"IL","Chicago","6406  N Claremont Ave","","A and J Grocery","7734655181","60645"
"IL","Chicago","4826 N Sheridan Rd","","Asha Foods","7737285530","60640"
"IL","Chicago","2340 West Devon Ave","","Awami Bazaar","7732749600","60631"
"IL","Chicago","6408 N Campbell Ave","","Fish Corner","7732627173","60645"
"IL","Chicago","2626 W Devon Ave", nil, "North Water Market","7737643557","60631"
"IL","Elmhurst","579-581 N. York Road", nil, "V. & T AsianFoods","6308338072","60126"
"IL","Glendale Hts","1985 Bloomingdale Rd", nil, "Khalid Food Mart","6305394078","60139"
"IL","Glenview","777 Milwaukee Ave", nil, "Kairali Grocery & Foods","8477292100","60025"
"IL","Gurnee","401 N. Route 21 Suite 23", nil, "United Grocers","8475999989","60031"
"IL","Highland Park","55 Saint Johns Ave", nil, "Shreeji Krupa Inc","8474320560","60035"
"IL","Hoffman Estates","1021 W Golf Rd","","Jai Hind Foods & Video","8474909855","60194"
"IL","Mount Prospect","1500 N Elmhurst Rd","","Apna Desh","8472220735","60101"
"IL","Mount Prospect","2360 S Elmhurst Road","","Ambica Grocery","8473645447","60056"
"IL","Niles","9094 W Golf Rd","","Indian Foods & Video","8478275568","60714"
"IL","Niles","8506 W Golf Rd","","P & P Asian Foods","8476638100","60714"
"IL","Palatine","1202 E Dundee Road","","Simi Grocers","8472021036","60074"
"IL","Palatine","1202 E Dundee Road","","Asian Island","8472021122","60074"
"IL","Roselle","976 W Lake St","","Dana Bazaar","6305296565","60172"
"IL","Schaumburg","2233 W Schaumburg Road", nil, "Shamiana","8473018500","60194"
